kingdom;phylum;class;order;family;genus;species;SGB;Bietry_1;Bietry_2;Bietry_3;Kassembie_1;Kassembie_2
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Brevibacillus;;;0.0;0.00041;0.0;0.0;0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Heyndrickxia;;;0.0;0.00035;0.0;1.24959;0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Paucisalibacillus;;;0.0;0.00032;0.0;0.0;0.0
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micrococcales;f__Intrasporangiaceae;g__Nostocoides;;;0.0;0.0003;0.0;0.0;0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillales_unclassified;g__Exiguobacterium;s__Exiguobacterium_sp_s146;;0.0;0.86602;0.00251;0.0;0.0
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Paracoccaceae;g__Thioclava;s__Thioclava_nitratireducens;;0.0;0.57962;0.0;0.0;0.0
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteraceae;g__Qipengyuania;s__Qipengyuania_aquimaris;;0.0;0.5574;0.11983;0.0;0.0
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteraceae;g__Qipengyuania;s__Qipengyuania_aerophila;;0.0;0.27143;0.58611;0.0;0.0
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium_esteraromaticum;;0.0;0.17588;0.00085;0.0;0.0
k__Bacteria;p__Bacteroidota;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Xanthomarina;s__Xanthomarina_gelatinilytica;;0.0;0.17481;0.0226;0.0;0.0
