kingdom,phylum,class,order,family,genus,species,SGB,Bietry_1,Bietry_2,Bietry_3,Kassembie_1,Kassembie_2,status
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Carnobacteriaceae,g__Carnobacterium,s__Carnobacterium_jeotgali,t__SGB7908,0.00634,0,0,0,0,Named species
k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Clostridiaceae,g__Clostridium,s__Clostridium_butyricum,t__SGB6170,0.00612,0,0,0,0,Named species
k__Bacteria,p__Bacteroidota,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Lutibacter,s__Lutibacter_maritimus,t__SGB2807,0.00606,0.0033,4e-5,0,0,Named species
k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__Bacillus_sp_ISL_55,t__SGB94611,0.00547,0.00204,0,0,0,Named species
k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Moraxellales,f__Moraxellaceae,g__Psychrobacter,s__Psychrobacter_proteolyticus,t__SGB31378,0.00533,0,0.00244,0,0,Named species
k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__Bacillus_cereus,t__SGB7697,0.00523,0.06487,0,0,0,Named species
k__Bacteria,p__Actinomycetota,c__Actinomycetes,o__Mycobacteriales,f__Gordoniaceae,g__Gordonia,s__Gordonia_aquimaris,t__SGB110855,0.00514,0.01983,0.03553,0,0,Named species
k__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhodobacterales,f__Roseobacteraceae,g__Ruegeria,s__Ruegeria_intermedia,t__SGB90365,0.00497,0.00857,0.00195,0,0,Named species
k__Bacteria,p__Actinomycetota,c__CFGB67380,o__OFGB67380,f__FGB67380,g__GGB136607,s__GGB136607_SGB176925,t__SGB176925,0.00487,0.00533,0.00157,0,0,Undescribed
k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Cytobacillus,s__Cytobacillus_firmus,t__SGB7570,0.00485,0.08364,0,0,0,Named species
